"id_restaurant","name","adress","lat","lng","kind_food","photo"
"1","Tequito cantina","c/Bilbao 1","41.393505","2.176045","mexicana","https://i.blogs.es/257d77/soho_house_bcn_3_0305/1366_2000.jpg"
"2","Obon","Plaça Maragall, 13 08027 Barcelona","41.420631","2.181085","vegetariana,mediterranea,mexicana","https://i.blogs.es/e56371/df00f1edae75165d39b3984220d2e2c2.clandscape_hd/1366_2000.jpg"
"3","Restaurant l'Ona","Carretera Km 638 5, N-||","41.491768","2.368998","mediterranea","https://i.blogs.es/1c9fce/1000653_1748534368737762_3937754130027722557_n/1366_2000.jpg"
"4","Con Gracia","Martinez de la Rosa 8, 08012 Barcelona ","41.399246","2.160086","mediterranea","https://i.blogs.es/7ffe69/12105724_1697677690466786_6316659975208196156_n/1366_2000.jpg"
"5","Sato | Tanaka","Bruc, 79, 08009 Barcelona ","41.394749","2.168957","japonesa","https://i.blogs.es/b4bb43/14721536_358441994488625_1699942668315337366_n/1366_2000.jpg"
"6","Suma m'anqa","calle Independencia, 340, 08026 Barcelona ","41.411163","2.179603","boliviana","https://i.blogs.es/0dba8a/plato15/1366_2000.jpg"
"7","La cuineta d'Horta","Petrarca, 40, 08031 Barcelona ","41.429169","2.164875","mediterranea,boliviana","https://i.blogs.es/2a7d64/barcelona_ninotcuina_marquee_673.laptop_1040_529/1366_2000.jpg"
"8","Shunka","c/Sagristans 5, 08002 Barcelona España","41.385365","2.175129","japonesa","https://i.blogs.es/908608/3_santamasa_restaurant_barcelona_decoracio_coixins/1366_2000.jpg"
"9","FAN Shoronpo","C/Seneca, 28, 08006 Barcelona","41.396721","2.155620","japonesa","https://i.blogs.es/ed2e2c/la-brochette-bcn/1366_2000.jpg"
"10","La confiança bar res","Anselm Clave, 26 Anselmo clave, 26, 08430, La Roca del Vallès ","41.588551","2.325864","mexicana,boliviana","https://i.blogs.es/65805c/12799061_661996480606467_7068445548184645650_n/1366_2000.jpg"
"11","Flax & Kale","Carrer dels Tallers 74b, 08001 Barcelona","41.385345","2.165452","vegetariana","https://i.blogs.es/90a1a7/7a36e1_3b2cc6672c4049c59ac85cf266405a48/1366_2000.jpg"
"12","Arc iris restaurant ","Roger de Flor, 216, 08013 Barcelona ","41.400059","2.171403","vegetariana,mediterranea","https://i.blogs.es/4ecd60/slide_4/1366_2000.jpg"
